ParticipantName,TeamName,Position,ELO
Jon Guridi,Alavés,ATT,1428
Gavi,Barcelona,ATT,1428
Álvaro Rodriguez,Getafe,ATT,1427
Jon Moncayola,Osasuna,MID,1426
Juan Carlos,Girona,GK,1426
Juan Soriano,Leganés,GK,1426
Raul Albiol,Villarreal,DEF,1425
Vitor Roque,Real Betis,ATT,1425
Unai Nunez,Athletic Club,DEF,1425
Abdelkabir Abqar,Alavés,DEF,1423
Marcao,Sevilla,DEF,1420
Miguel de la Fuente,Leganés,ATT,1420
Marcos de Sousa,Real Valladolid,ATT,1420
Diego Conde,Villarreal,GK,1419
Jesus Areso,Osasuna,DEF,1419
Abdessamad Ezzalzouli,Real Betis,ATT,1419
José Ángel Carmona,Sevilla,DEF,1415
Alejo Veliz,Espanyol,ATT,1412
David Torres,Real Valladolid,DEF,1410
Antonio Blanco,Alavés,MID,1408
Yellu Santiago,Getafe,MID,1407
Randy Nteka,Rayo Vallecano,ATT,1407
Yéremi Pino,Villarreal,ATT,1399
Mario Martin,Real Valladolid,MID,1399
Juanmi Latasa,Real Valladolid,ATT,1386
Djené,Getafe,DEF,1386
Alex Suárez,Las Palmas,DEF,1385
Yvan Neyou Noupa,Leganés,MID,1363
Juanmi,Getafe,ATT,1361
Bertug Yildirim,Getafe,ATT,1350
Pol Lozano,Espanyol,MID,1345
Tomas Conechny,Alavés,ATT,1345
Isaac Romero,Sevilla,ATT,1302
Jaime Mata,Las Palmas,ATT,1282
