ParticipantName,TeamName,Position,Accurate long balls per 90,Accurate passes per 90,Assists,Big chances created,Big chances missed,Blocks per 90,Chances created,Clean sheets,Clearances per 90,Expected assist (xA),Expected assist (xA) per 90,Expected goals (xG),Expected goals (xG) per 90,Expected goals on target (xGOT),Fouls committed per 90,Goals conceded per 90,Goals per 90,Goals prevented,Interceptions per 90,Penalties conceded,Penalties won,Possession won final 3rd per 90,Red cards,Save percentage,Saves per 90,Shots on target per 90,Successful dribbles per 90,Top scorer,Yellow cards
Eric Dier,Monaco,DEF,,,,,,,2.0,,,0.3,,0.5,,0.7,,,,,,,,,,,,,,1.0,
Eric Ebimbe,Brest,ATT,0.2,12.9,,1.0,2.0,,3.0,,0.2,0.2,0.06,1.4,0.33,1.9,1.4,,0.48,,0.2,,,0.5,,,,0.7,,2.0,1.0
Esteban Lepaul,Rennes,ATT,0.5,12.1,3.0,2.0,6.0,,12.0,,0.6,0.5,0.03,8.1,0.48,9.2,1.0,,0.53,,0.1,,,0.6,,,,1.2,0.2,9.0,1.0
Ethan Mbappé,Lille,ATT,0.9,28.3,1.0,1.0,2.0,,8.0,,,1.1,0.26,1.4,0.33,1.1,0.7,,0.7,,0.2,,,,,,,1.4,0.7,3.0,
Ethan Nwaneri,Marseille,ATT,,,,,,,4.0,,,0.3,,0.5,,1.0,,,,,,,,,,,,,,1.0,
Everton,Nice,MID,,,,,,,,,,0.0,,0.2,,,,,,,,,,,,,,,,,
Fabian Rieder,Rennes,ATT,,,,1.0,,,2.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,
Fabien Centonze,Nantes,MID,,,,,,,1.0,,,0.1,,0.9,,1.2,,,,,,,,,,,,,,2.0,2.0
Fabián Ruiz,Paris Saint-Germain,MID,3.8,88.2,2.0,2.0,3.0,,12.0,,0.7,1.5,0.17,1.0,0.12,0.5,0.1,,0.11,,0.9,,,0.5,,,,0.5,,1.0,1.0
Facundo Medina,Marseille,DEF,,,,,,,1.0,,,0.2,,,,,,,,,,,,,,,,,,,1.0
Felix Correia,Lille,ATT,2.0,30.6,4.0,7.0,4.0,0.1,23.0,,0.4,3.2,0.25,2.4,0.19,2.5,0.5,,0.23,,0.9,1.0,,0.6,,,,0.4,0.5,3.0,1.0
Felix Mambimbi,Le Havre,ATT,0.2,15.5,,1.0,1.0,,6.0,,1.1,0.5,0.09,0.7,0.12,0.6,2.8,,0.19,,0.6,,,2.1,,,,0.4,0.7,1.0,1.0
Florent Hanin,Angers,DEF,2.0,30.2,,1.0,,0.4,3.0,,2.5,0.3,0.05,0.0,0.0,,0.7,,,,1.3,,,0.2,,,,,0.5,,
Florian Sotoca,Lens,ATT,2.8,50.1,,1.0,,,4.0,,0.9,0.4,0.37,0.1,0.07,,4.6,,,,2.8,,,,,,,,0.9,,2.0
Florian Thauvin,Lens,ATT,1.6,31.7,2.0,9.0,8.0,0.1,40.0,,0.3,5.0,0.28,7.1,0.41,6.7,0.8,,0.28,,0.4,,,1.0,,,,0.9,2.0,5.0,5.0
Fodé Ballo,Metz,DEF,,,,1.0,,,3.0,,,1.0,,0.2,,0.4,,,,,,1.0,,,,,,,,,2.0
Fodé Doucouré,Le Havre,ATT,1.3,26.7,1.0,2.0,,0.1,13.0,,1.6,1.5,0.19,1.4,0.18,1.6,0.8,,0.26,,0.5,,,0.4,,,,0.7,0.4,2.0,
Fodé Sylla,Lens,MID,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
Folarin Balogun,Monaco,ATT,0.2,12.5,3.0,6.0,3.0,0.1,13.0,,0.3,1.0,0.08,5.6,0.46,4.2,1.7,,0.33,,0.2,,2.0,0.8,1.0,,,1.2,0.9,4.0,2.0
Formose Mendy,Lorient,DEF,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1.0
